order_number,product_code,quantity_tonnes,source_stockyard_code,destination,destination_latitude,destination_longitude,priority,due_date,sla_hours
ORD001,COAL,2500,SY001,Mumbai Port,19.0760,72.8777,1,2025-10-15T00:00:00,72
ORD002,IRON_ORE,3000,SY001,Vizag Port,17.6868,83.2185,2,2025-10-16T00:00:00,96
ORD003,COAL,2200,SY002,Kolkata Port,22.5726,88.3639,1,2025-10-14T00:00:00,48
ORD004,STEEL,1800,SY001,Delhi,28.7041,77.1025,3,2025-10-18T00:00:00,120
ORD005,COAL,2800,SY003,Chennai Port,13.0827,80.2707,2,2025-10-17T00:00:00,96
ORD006,IRON_ORE,3200,SY002,Mumbai Port,19.0760,72.8777,2,2025-10-16T00:00:00,96
ORD007,STEEL,2000,SY003,Bangalore,12.9716,77.5946,3,2025-10-19T00:00:00,144
ORD008,COAL,2600,SY001,Hyderabad,17.3850,78.4867,2,2025-10-17T00:00:00,96
ORD009,IRON_ORE,2900,SY002,Chennai Port,13.0827,80.2707,1,2025-10-15T00:00:00,72
ORD010,COAL,2400,SY003,Pune,18.5204,73.8567,3,2025-10-20T00:00:00,144
